NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,VOTING AUTHORITY SOLE,VOTING AUTHORITY SHARED,VOTING AUTHORITY NONE,Filing Date
PEAR TREE FUNDS,MUTUAL FUNDS -,70472Q807,75,3474,SH,,OTR,,1007,0,2467,0001291422-18-000002
PEPSICO INC COM,COMMON STOCK,713448108,34851,319297,SH,,SOLE,,317265,0,2032,0001291422-18-000002
PEPSICO INC COM,COMMON STOCK,713448108,386,3538,SH,,OTR,,3255,0,283,0001291422-18-000002
PFIZER INC COM,COMMON STOCK,717081103,6382,179824,SH,,SOLE,,175133,0,4691,0001291422-18-000002
PFIZER INC COM,COMMON STOCK,717081103,24,685,SH,,DFND,,685,0,0,0001291422-18-000002
PFIZER INC COM,COMMON STOCK,717081103,23,639,SH,,OTR,,0,0,639,0001291422-18-000002
PIMCO,MUTUAL FUNDS -,693390700,490,48596,SH,,OTR,,48596,0,0,0001291422-18-000002
PIMCO,MUTUAL FUNDS -,72201F474,330,27008,SH,,SOLE,,27008,0,0,0001291422-18-000002
PIMCO,MUTUAL FUNDS -,72201F490,133,10866,SH,,SOLE,,10866,0,0,0001291422-18-000002
PINNACLE FOODS INC,COMMON STOCK,72348P104,1860,34387,SH,,SOLE,,31874,0,2513,0001291422-18-000002
PINNACLE FOODS INC,COMMON STOCK,72348P104,12,230,SH,,OTR,,0,0,230,0001291422-18-000002
PIONEER NATURAL RESOURCES,COMMON STOCK,723787107,1986,11561,SH,,SOLE,,11049,0,512,0001291422-18-000002
PIONEER NATURAL RESOURCES,COMMON STOCK,723787107,55,319,SH,,OTR,,247,0,72,0001291422-18-000002
PNC BANK NA,CORPORATE BONDS,69353RET1,274,275000,PRN,,SOLE,,275000,0,0,0001291422-18-000002
PNC FINANCIAL SERVICES GROUP,COMMON STOCK,693475105,12537,82894,SH,,SOLE,,80842,0,2052,0001291422-18-000002
PNC FINANCIAL SERVICES GROUP,COMMON STOCK,693475105,49,321,SH,,OTR,,0,0,321,0001291422-18-000002
PNC FUNDING CORP,CORPORATE BONDS,693476BF9,261,250000,PRN,,SOLE,,250000,0,0,0001291422-18-000002
POWERSHARES,COMMON STOCK,73936T565,151,10340,SH,,SOLE,,10340,0,0,0001291422-18-000002
PPG,CORPORATE BONDS,693506BH9,1243,1250000,PRN,,SOLE,,1250000,0,0,0001291422-18-000002
PRIMECAP,MUTUAL FUNDS -,74160Q202,33269,672912,SH,,SOLE,,637709,0,35203,0001291422-18-000002
PRIMECAP,MUTUAL FUNDS -,74160Q202,341,6898,SH,,OTR,,2912,0,3986,0001291422-18-000002
PRIMECAP,MUTUAL FUNDS -,74160Q301,35001,1097542,SH,,SOLE,,1088255,0,9287,0001291422-18-000002
PRIMECAP,MUTUAL FUNDS -,74160Q301,148,4648,SH,,OTR,,4648,0,0,0001291422-18-000002
PROCTER & GAMBLE,COMMON STOCK,742718109,9479,119560,SH,,SOLE,,117563,0,1997,0001291422-18-000002
PROCTER & GAMBLE,COMMON STOCK,742718109,19,245,SH,,DFND,,245,0,0,0001291422-18-000002
PROCTER & GAMBLE,COMMON STOCK,742718109,72,906,SH,,OTR,,645,0,261,0001291422-18-000002
"PROGRESS ENERGY, INC.",CORPORATE BONDS,743263AQ8,643,625000,PRN,,SOLE,,625000,0,0,0001291422-18-000002
"PRUDENTIAL FINANCIAL, INC.",COMMON STOCK,744320102,2973,28711,SH,,SOLE,,28391,0,320,0001291422-18-000002
"PRUDENTIAL FINANCIAL, INC.",COMMON STOCK,744320102,22,210,SH,,DFND,,210,0,0,0001291422-18-000002
PUBLIC SERVICE ENTERPRISE GROUP,COMMON STOCK,744573106,2745,54628,SH,,SOLE,,54035,0,593,0001291422-18-000002
PUBLIC SERVICE ENTERPRISE GROUP,COMMON STOCK,744573106,21,425,SH,,DFND,,425,0,0,0001291422-18-000002
Q LOTUS HOLDINGS INC,COMMON STOCK,74733U102,2,240000,SH,,SOLE,,240000,0,0,0001291422-18-000002
QUALCOMM INC COM,COMMON STOCK,747525103,1260,22737,SH,,SOLE,,22506,0,231,0001291422-18-000002
QUALCOMM INC COM,COMMON STOCK,747525103,17,300,SH,,DFND,,300,0,0,0001291422-18-000002
QUALCOMM INC COM,COMMON STOCK,747525103,139,2500,SH,,OTR,,2500,0,0,0001291422-18-000002
QUALCOMM INC COM,CORPORATE BONDS,747525AP8,346,350000,PRN,,SOLE,,350000,0,0,0001291422-18-000002
RAYTHEON,COMMON STOCK,755111507,4612,21368,SH,,SOLE,,21368,0,0,0001291422-18-000002
REPUBLIC SERVICES INC,COMMON STOCK,760759100,1039,15682,SH,,SOLE,,14473,0,1209,0001291422-18-000002
REPUBLIC SERVICES INC,COMMON STOCK,760759100,12,186,SH,,OTR,,0,0,186,0001291422-18-000002
REPUBLIC SERVICES INC,CORPORATE BONDS,760759AH3,4614,4450000,PRN,,SOLE,,4450000,0,0,0001291422-18-000002
ROCORI MN,MUNICIPAL OBLIG,774836EU0,271,270000,PRN,,SOLE,,270000,0,0,0001291422-18-000002
ROYAL BANK OF CANADA,COMMON STOCK,780087102,2751,35589,SH,,SOLE,,35180,0,409,0001291422-18-000002
ROYAL BANK OF CANADA,COMMON STOCK,780087102,22,280,SH,,DFND,,280,0,0,0001291422-18-000002
"RPM INTERNATIONAL, INC",COMMON STOCK,749685103,215,4500,SH,,SOLE,,4500,0,0,0001291422-18-000002
SCHLUMBERGER LTD COM,COMMON STOCK,806857108,1697,26196,SH,,SOLE,,24207,0,1989,0001291422-18-000002
SCHLUMBERGER LTD COM,COMMON STOCK,806857108,21,324,SH,,OTR,,0,0,324,0001291422-18-000002
SHERWIN WILLIAMS CO COM,CORPORATE BONDS,824348AT3,3049,3100000,PRN,,SOLE,,3100000,0,0,0001291422-18-000002
SOUTHERN CO COM,CORPORATE BONDS,842587CQ8,814,825000,PRN,,SOLE,,825000,0,0,0001291422-18-000002
SOUTHWEST AIRLINES,COMMON STOCK,844741108,1202,20993,SH,,SOLE,,19603,0,1390,0001291422-18-000002
SOUTHWEST AIRLINES,COMMON STOCK,844741108,11,191,SH,,OTR,,0,0,191,0001291422-18-000002
SPDR S&P,COMMON STOCK,78464A763,337,3694,SH,,SOLE,,230,0,3464,0001291422-18-000002
SPIRIT AEROSYSTEMS HOLD-CL A,COMMON STOCK,848574109,1330,15885,SH,,SOLE,,14677,0,1208,0001291422-18-000002
SPIRIT AEROSYSTEMS HOLD-CL A,COMMON STOCK,848574109,14,169,SH,,OTR,,0,0,169,0001291422-18-000002
STAMPS.COM INC,COMMON STOCK,852857200,236,1172,SH,,SOLE,,1172,0,0,0001291422-18-000002
STANLEY BLACK & DECKER INC,CORPORATE BONDS,854502AB7,1547,1550000,PRN,,SOLE,,1550000,0,0,0001291422-18-000002
STARBUCKS CORPORATION,COMMON STOCK,855244109,373,6451,SH,,SOLE,,6451,0,0,0001291422-18-000002
STRYKER CORPORATION,CORPORATE BONDS,863667AK7,1192,1200000,PRN,,SOLE,,1200000,0,0,0001291422-18-000002
SUNTRUST BANKS INC,COMMON STOCK,867914103,542,7964,SH,,SOLE,,7964,0,0,0001291422-18-000002
T. ROWE PRICE,MUTUAL FUNDS -,77954Q205,8738,87058,SH,,SOLE,,87058,0,0,0001291422-18-000002
T. ROWE PRICE,MUTUAL FUNDS -,77954Q403,10185,99994,SH,,SOLE,,99400,0,594,0001291422-18-000002
T. ROWE PRICE,MUTUAL FUNDS -,77954Q403,39,388,SH,,OTR,,388,0,0,0001291422-18-000002
TAPESTRY INC,COMMON STOCK,876030107,2006,38135,SH,,SOLE,,37678,0,457,0001291422-18-000002
TEXAS INSTRS INC COM,COMMON STOCK,882508104,3300,31760,SH,,SOLE,,29746,0,2014,0001291422-18-000002
TEXAS INSTRS INC COM,COMMON STOCK,882508104,30,284,SH,,OTR,,0,0,284,0001291422-18-000002
THE J.M. SMUCKER COMPANY,COMMON STOCK,832696405,2342,18888,SH,,SOLE,,17796,0,1092,0001291422-18-000002
THE J.M. SMUCKER COMPANY,COMMON STOCK,832696405,21,166,SH,,OTR,,0,0,166,0001291422-18-000002
THE RUSH CREEK LAND & LIVE STOCK,CLOSELY HELD ST,SU0002232,385,642,SH,,SOLE,,642,0,0,0001291422-18-000002
THERMO FISHER SCIENTIFIC INC.,COMMON STOCK,883556102,5306,25701,SH,,SOLE,,24235,0,1466,0001291422-18-000002
THERMO FISHER SCIENTIFIC INC.,COMMON STOCK,883556102,107,517,SH,,OTR,,297,0,220,0001291422-18-000002
THOMSON REUTERS CORPORATION,COMMON STOCK,884903105,2481,64182,SH,,SOLE,,63441,0,741,0001291422-18-000002
THOMSON REUTERS CORPORATION,COMMON STOCK,884903105,21,550,SH,,DFND,,550,0,0,0001291422-18-000002
THOR INDUSTRIES,COMMON STOCK,885160101,269,2332,SH,,SOLE,,2332,0,0,0001291422-18-000002
TIME WARNER INC NEW,COMMON STOCK,887317303,429,4541,SH,,SOLE,,4541,0,0,0001291422-18-000002
TOTAL SA,COMMON STOCK,89151E109,1653,28651,SH,,SOLE,,28298,0,353,0001291422-18-000002
UNION PAC CORP COM,COMMON STOCK,907818108,6214,46224,SH,,SOLE,,44196,0,2028,0001291422-18-000002
UNION PAC CORP COM,COMMON STOCK,907818108,95,707,SH,,OTR,,425,0,282,0001291422-18-000002
UNITED HEALTH GROUP INCORPORATED,COMMON STOCK,91324P102,6849,32005,SH,,SOLE,,30276,0,1729,0001291422-18-000002
UNITED HEALTH GROUP INCORPORATED,COMMON STOCK,91324P102,58,270,SH,,OTR,,0,0,270,0001291422-18-000002
UNITED HEALTH GROUP INCORPORATED,CORPORATE BONDS,91324PCL4,300,300000,PRN,,SOLE,,300000,0,0,0001291422-18-000002
UNITED TECHNOLOGIES,CORPORATE BONDS,913017BR9,1525,1475000,PRN,,SOLE,,1475000,0,0,0001291422-18-000002
UNITED TECHNOLOGIES,CORPORATE BONDS,913017BZ1,250,250000,PRN,,SOLE,,250000,0,0,0001291422-18-000002
UNITREND INC,COMMON STOCK,913273991,0,11000,SH,,SOLE,,11000,0,0,0001291422-18-000002
UTAH ST BRD OF RGTS,MUNICIPAL OBLIG,91754RPZ4,252,250000,PRN,,SOLE,,250000,0,0,0001291422-18-000002
V F. CORPORATION,COMMON STOCK,918204108,1579,21297,SH,,SOLE,,21040,0,257,0001291422-18-000002
VALERO ENERGY CORPORATION,COMMON STOCK,91913Y100,1923,20732,SH,,SOLE,,19890,0,842,0001291422-18-000002
VALERO ENERGY CORPORATION,COMMON STOCK,91913Y100,13,145,SH,,OTR,,0,0,145,0001291422-18-000002
VANGUARD,MUTUAL FUNDS -,921909503,294,8777,SH,,SOLE,,8777,0,0,0001291422-18-000002
VANGUARD,MUTUAL FUNDS -,921931309,267,7808,SH,,SOLE,,7808,0,0,0001291422-18-000002
VANGUARD,MUTUAL FUNDS -,921937702,9596,933418,SH,,SOLE,,933418,0,0,0001291422-18-000002
VANGUARD,MUTUAL FUNDS -,921937736,8499,252197,SH,,SOLE,,250072,0,2125,0001291422-18-000002
VANGUARD,MUTUAL FUNDS -,921937736,3,77,SH,,DFND,,77,0,0,0001291422-18-000002
VANGUARD,COMMON STOCK,921943858,543,12280,SH,,SOLE,,12280,0,0,0001291422-18-000002
VANGUARD,MUTUAL FUNDS -,922020706,847,34570,SH,,SOLE,,34570,0,0,0001291422-18-000002
VANGUARD,MUTUAL FUNDS -,922020706,78,3182,SH,,OTR,,1156,0,2026,0001291422-18-000002
VANGUARD,MUTUAL FUNDS -,922042841,4753,122187,SH,,SOLE,,122187,0,0,0001291422-18-000002
VANGUARD,COMMON STOCK,922042858,580,12348,SH,,SOLE,,12348,0,0,0001291422-18-000002
VANGUARD,COMMON STOCK,922908363,485,2005,SH,,SOLE,,2005,0,0,0001291422-18-000002
VANGUARD,MUTUAL FUNDS -,922908645,7247,37953,SH,,SOLE,,37953,0,0,0001291422-18-000002
VANGUARD,MUTUAL FUNDS -,922908686,8654,122887,SH,,SOLE,,122887,0,0,0001291422-18-000002
VANGUARD,MUTUAL FUNDS -,922908686,5,76,SH,,DFND,,76,0,0,0001291422-18-000002
VANGUARD,MUTUAL FUNDS -,922908694,1984,23435,SH,,SOLE,,23435,0,0,0001291422-18-000002
VANGUARD,MUTUAL FUNDS -,922908710,46097,189067,SH,,SOLE,,189067,0,0,0001291422-18-000002
VANGUARD,MUTUAL FUNDS -,922908710,11,44,SH,,DFND,,44,0,0,0001291422-18-000002
VANGUARD,MUTUAL FUNDS -,922908710,81,332,SH,,OTR,,332,0,0,0001291422-18-000002
VANGUARD TARGET RETIREMENT,MUTUAL FUNDS -,92202E102,1136,84513,SH,,SOLE,,84513,0,0,0001291422-18-000002
VANGUARD TARGET RETIREMENT,MUTUAL FUNDS -,92202E300,981,64339,SH,,SOLE,,64339,0,0,0001291422-18-000002
VANGUARD TARGET RETIREMENT,MUTUAL FUNDS -,92202E409,4456,242312,SH,,SOLE,,242312,0,0,0001291422-18-000002
VANGUARD TARGET RETIREMENT,MUTUAL FUNDS -,92202E409,433,23524,SH,,OTR,,23524,0,0,0001291422-18-000002
VANGUARD TARGET RETIREMENT,MUTUAL FUNDS -,92202E508,4186,203485,SH,,SOLE,,203485,0,0,0001291422-18-000002
VANGUARD TARGET RETIREMENT,MUTUAL FUNDS -,92202E607,2211,98846,SH,,SOLE,,98846,0,0,0001291422-18-000002
VANGUARD TARGET RETIREMENT,MUTUAL FUNDS -,92202E847,619,15857,SH,,SOLE,,15857,0,0,0001291422-18-000002
VANGUARD TARGET RETIREMENT,MUTUAL FUNDS -,92202E862,1061,29476,SH,,SOLE,,29476,0,0,0001291422-18-000002
VEEVA SYSTEMS INC,COMMON STOCK,922475108,270,3699,SH,,SOLE,,3699,0,0,0001291422-18-000002
VERIZON COMMUNICATIONS,COMMON STOCK,92343V104,1737,36319,SH,,SOLE,,36319,0,0,0001291422-18-000002
VERIZON COMMUNICATIONS,COMMON STOCK,92343V104,21,440,SH,,DFND,,440,0,0,0001291422-18-000002
VERIZON COMMUNICATIONS,COMMON STOCK,92343V104,35,735,SH,,OTR,,735,0,0,0001291422-18-000002
VERIZON COMMUNICATIONS,CORPORATE BONDS,92343VCH5,697,700000,PRN,,SOLE,,700000,0,0,0001291422-18-000002
VICTORY SYCAMORE,MUTUAL FUNDS -,92646A831,20161,503649,SH,,SOLE,,497354,0,6295,0001291422-18-000002
VICTORY SYCAMORE,MUTUAL FUNDS -,92646A831,96,2400,SH,,OTR,,2400,0,0,0001291422-18-000002
VOYA FINANCIAL INC,COMMON STOCK,929089100,1367,27064,SH,,SOLE,,24618,0,2446,0001291422-18-000002
VOYA FINANCIAL INC,COMMON STOCK,929089100,19,377,SH,,OTR,,0,0,377,0001291422-18-000002
WAL-MART STORES INC.,COMMON STOCK,931142103,5351,60144,SH,,SOLE,,58708,0,1436,0001291422-18-000002
WAL-MART STORES INC.,COMMON STOCK,931142103,21,240,SH,,DFND,,240,0,0,0001291422-18-000002
WAL-MART STORES INC.,COMMON STOCK,931142103,34,381,SH,,OTR,,225,0,156,0001291422-18-000002
WATERTOWN WI UNIF SCH DIST,MUNICIPAL OBLIG,942221GE6,247,250000,PRN,,SOLE,,250000,0,0,0001291422-18-000002
WELLS FARGO,MUTUAL FUNDS -,949917702,2138,223610,SH,,SOLE,,217683,0,5927,0001291422-18-000002
WELLS FARGO,MUTUAL FUNDS -,949917702,84,8829,SH,,OTR,,8829,0,0,0001291422-18-000002
WELLS FARGO,MUTUAL FUNDS -,949921654,310,31562,SH,,SOLE,,31562,0,0,0001291422-18-000002
WELLS FARGO & COMPANY,COMMON STOCK,949746101,543,10357,SH,,SOLE,,10357,0,0,0001291422-18-000002
WELLS FARGO & COMPANY,CORPORATE BONDS,94974BGM6,396,400000,PRN,,SOLE,,400000,0,0,0001291422-18-000002
WELLS FARGO ADVANTAGE,MUTUAL FUNDS -,949915482,2591,69472,SH,,SOLE,,65539,0,3933,0001291422-18-000002
WELLS FARGO ADVANTAGE,MUTUAL FUNDS -,949915482,147,3932,SH,,OTR,,371,0,3561,0001291422-18-000002
WESTAR ENERGY INC,CORPORATE BONDS,95709TAD2,1048,1000000,PRN,,SOLE,,1000000,0,0,0001291422-18-000002
WESTROCK CO,COMMON STOCK,96145D105,5627,87696,SH,,SOLE,,83617,0,4079,0001291422-18-000002
WESTROCK CO,COMMON STOCK,96145D105,56,876,SH,,OTR,,135,0,741,0001291422-18-000002
WILMINGTON NC,MUNICIPAL OBLIG,971697AP2,326,320000,PRN,,SOLE,,320000,0,0,0001291422-18-000002
WISCONSIN ELEC PWR CO NOTE,CORPORATE BONDS,976656CC0,1180,1150000,PRN,,SOLE,,1150000,0,0,0001291422-18-000002
WISCONSIN ST,MUNICIPAL OBLIG,977100CQ7,200,200000,PRN,,SOLE,,200000,0,0,0001291422-18-000002
WM WRIGLEY JR CO,CORPORATE BONDS,982526AQ8,1513,1500000,PRN,,SOLE,,1500000,0,0,0001291422-18-000002
WM WRIGLEY JR CO,CORPORATE BONDS,982526AU9,1523,1525000,PRN,,SOLE,,1525000,0,0,0001291422-18-000002
1/2 UNDIVIDED INTEREST IN RE,REAL ESTATE,RE0001108,445,1,SH,,SOLE,,1,0,0,0001291422-18-000009
"120 ACRES IN ESSEX TWNSHP, IL",REAL ESTATE,RE0001199,940,1,SH,,SOLE,,1,0,0,0001291422-18-000009
ABBOTT LABORATORIES,COMMON STOCK,002824100,536,7305,SH,,SOLE,,7305,0,0,0001291422-18-000009
ABBOTT LABORATORIES,COMMON STOCK,002824100,559,7615,SH,,OTR,,7615,0,0,0001291422-18-000009
ABBVIE INC,COMMON STOCK,00287Y109,15892,168028,SH,,SOLE,,164811,0,3217,0001291422-18-000009
ABBVIE INC,COMMON STOCK,00287Y109,28,300,SH,,DFND,,300,0,0,0001291422-18-000009
ABBVIE INC,COMMON STOCK,00287Y109,749,7914,SH,,OTR,,7505,0,409,0001291422-18-000009
ABBVIE INC,CORPORATE BONDS,00287YAK5,750,750000,PRN,,SOLE,,750000,0,0,0001291422-18-000009
ACCENTURE PLC-CL A,COMMON STOCK,G1151C101,9757,57329,SH,,SOLE,,55566,0,1763,0001291422-18-000009
ACCENTURE PLC-CL A,COMMON STOCK,G1151C101,45,265,SH,,OTR,,0,0,265,0001291422-18-000009
AIR PRODUCTS & CHEMICALS INC.,COMMON STOCK,009158106,2770,16579,SH,,SOLE,,15630,0,949,0001291422-18-000009
AIR PRODUCTS & CHEMICALS INC.,COMMON STOCK,009158106,35,209,SH,,OTR,,0,0,209,0001291422-18-000009
ALPHABET INC,COMMON STOCK,02079K107,3639,3049,SH,,SOLE,,3049,0,0,0001291422-18-000009
ALPHABET INC,COMMON STOCK,02079K305,17260,14299,SH,,SOLE,,13700,0,599,0001291422-18-000009
ALPHABET INC,COMMON STOCK,02079K305,126,104,SH,,OTR,,0,0,104,0001291422-18-000009
AMAZON.COM INC.,COMMON STOCK,023135106,17853,8913,SH,,SOLE,,8578,0,335,0001291422-18-000009
AMAZON.COM INC.,COMMON STOCK,023135106,94,47,SH,,OTR,,0,0,47,0001291422-18-000009
AMAZON.COM INC.,CORPORATE BONDS,023135AL0,199,200000,PRN,,SOLE,,200000,0,0,0001291422-18-000009
AMERCAN FUNDS,MUTUAL FUNDS -,02630T290,120,10181,SH,,SOLE,,10181,0,0,0001291422-18-000009
AMERICAN BEACON,MUTUAL FUNDS -,02368A638,32101,1098597,SH,,SOLE,,1047375,0,51222,0001291422-18-000009
AMERICAN BEACON,MUTUAL FUNDS -,02368A638,228,7792,SH,,OTR,,3627,0,4165,0001291422-18-000009
AMERICAN BEACON,MUTUAL FUNDS -,024524126,12352,418285,SH,,SOLE,,415221,0,3064,0001291422-18-000009
AMERICAN BEACON,MUTUAL FUNDS -,024524126,129,4355,SH,,OTR,,4355,0,0,0001291422-18-000009
AMERICAN BEACON,MUTUAL FUNDS -,024524159,3308,113251,SH,,SOLE,,113251,0,0,0001291422-18-000009
AMERICAN BEACON,MUTUAL FUNDS -,024524282,787,82425,SH,,SOLE,,82425,0,0,0001291422-18-000009
AMERICAN ELECTRIC POWER,COMMON STOCK,025537101,2755,38866,SH,,SOLE,,36026,0,2840,0001291422-18-000009
AMERICAN ELECTRIC POWER,COMMON STOCK,025537101,30,426,SH,,OTR,,0,0,426,0001291422-18-000009
AMERICAN EXPRESS CREDIT CO,CORPORATE BONDS,0258M0DP1,2637,2650000,PRN,,SOLE,,2600000,0,50000,0001291422-18-000009
AMERICAN EXPRESS CREDIT CO,CORPORATE BONDS,0258M0DP1,100,100000,PRN,,OTR,,100000,0,0,0001291422-18-000009
AMERICAN FUNDS,MUTUAL FUNDS -,024071771,703,25187,SH,,SOLE,,25187,0,0,0001291422-18-000009
AMERICAN FUNDS,MUTUAL FUNDS -,097873772,167,13379,SH,,SOLE,,13379,0,0,0001291422-18-000009
AMERICAN FUNDS,MUTUAL FUNDS -,140543109,771,15059,SH,,SOLE,,15059,0,0,0001291422-18-000009
AMERICAN FUNDS,MUTUAL FUNDS -,140543117,413,8075,SH,,SOLE,,8075,0,0,0001291422-18-000009
AMERICAN FUNDS,MUTUAL FUNDS -,140543810,1839,35926,SH,,SOLE,,35926,0,0,0001291422-18-000009
AMERICAN FUNDS,MUTUAL FUNDS -,298706821,4035,76038,SH,,SOLE,,76038,0,0,0001291422-18-000009
AMERICAN FUNDS,MUTUAL FUNDS -,360802771,1330,20358,SH,,SOLE,,20358,0,0,0001291422-18-000009
AMERICAN FUNDS,MUTUAL FUNDS -,360802813,1746,26719,SH,,SOLE,,26719,0,0,0001291422-18-000009
AMERICAN FUNDS,MUTUAL FUNDS -,399874775,600,10566,SH,,SOLE,,10566,0,0,0001291422-18-000009
AMERICAN FUNDS,MUTUAL FUNDS -,399874817,3919,68958,SH,,SOLE,,68958,0,0,0001291422-18-000009
AMERICAN FUNDS,MUTUAL FUNDS -,453320103,1804,77774,SH,,SOLE,,77774,0,0,0001291422-18-000009
AMERICAN FUNDS,MUTUAL FUNDS -,453320772,278,11991,SH,,SOLE,,11991,0,0,0001291422-18-000009
AMERICAN FUNDS,MUTUAL FUNDS -,453320814,2232,96198,SH,,SOLE,,96198,0,0,0001291422-18-000009
AMERICAN FUNDS,MUTUAL FUNDS -,648018109,342,7297,SH,,SOLE,,7297,0,0,0001291422-18-000009
AMERICAN FUNDS,MUTUAL FUNDS -,649280815,6776,105769,SH,,SOLE,,105769,0,0,0001291422-18-000009
AMERICAN FUNDS,MUTUAL FUNDS -,939330775,1587,33989,SH,,SOLE,,33989,0,0,0001291422-18-000009
AMERICAN FUNDS,MUTUAL FUNDS -,939330817,811,17350,SH,,SOLE,,17350,0,0,0001291422-18-000009
AMERICAN HONDA FINANCE,CORPORATE BONDS,02665WBT7,343,350000,PRN,,SOLE,,350000,0,0,0001291422-18-000009
AMGEN INC,COMMON STOCK,031162100,5992,28905,SH,,SOLE,,27854,0,1051,0001291422-18-000009
AMGEN INC,COMMON STOCK,031162100,35,171,SH,,OTR,,0,0,171,0001291422-18-000009
AMGEN INC,CORPORATE BONDS,031162BU3,1146,1150000,PRN,,SOLE,,1100000,0,50000,0001291422-18-000009
AMGEN INC,CORPORATE BONDS,031162CM0,1996,2025000,PRN,,SOLE,,2025000,0,0,0001291422-18-000009
AMGEN INC,CORPORATE BONDS,031162CM0,99,100000,PRN,,OTR,,100000,0,0,0001291422-18-000009
ANADARKO PETROLEUM CORPORATION,COMMON STOCK,032511107,1156,17142,SH,,SOLE,,17142,0,0,0001291422-18-000009
"ANALOG DEVICES, INC.",COMMON STOCK,032654105,842,9110,SH,,SOLE,,8507,0,603,0001291422-18-000009
"ANALOG DEVICES, INC.",COMMON STOCK,032654105,9,96,SH,,OTR,,0,0,96,0001291422-18-000009
ANTHEM INC,CORPORATE BONDS,94973VAS6,449,440000,PRN,,SOLE,,390000,0,50000,0001291422-18-000009
AON CORPORATION,COMMON STOCK,G0408V102,538,3500,SH,,SOLE,,3500,0,0,0001291422-18-000009
APPLE INC.,COMMON STOCK,037833100,44313,196303,SH,,SOLE,,191901,0,4402,0001291422-18-000009
APPLE INC.,COMMON STOCK,037833100,341,1509,SH,,OTR,,859,0,650,0001291422-18-000009
ARCHER DANIELS MIDLAND CO COM,COMMON STOCK,039483102,242,4817,SH,,SOLE,,4817,0,0,0001291422-18-000009
ARISTA NETWORKS INC,COMMON STOCK,040413106,272,1024,SH,,SOLE,,1024,0,0,0001291422-18-000009
ASGN INC.,COMMON STOCK,00191U102,258,3266,SH,,SOLE,,3266,0,0,0001291422-18-000009
ASTRAZENECA PLC,CORPORATE BONDS,046353AH1,477,477000,PRN,,SOLE,,477000,0,0,0001291422-18-000009
AT&T INC.,COMMON STOCK,00206R102,5428,161642,SH,,SOLE,,157162,0,4480,0001291422-18-000009
AT&T INC.,COMMON STOCK,00206R102,52,1553,SH,,OTR,,1000,0,553,0001291422-18-000009
AT&T INC.,CORPORATE BONDS,00206RCA8,400,400000,PRN,,SOLE,,400000,0,0,0001291422-18-000009
AT&T INC.,CORPORATE BONDS,00206RCC4,764,765000,PRN,,SOLE,,765000,0,0,0001291422-18-000009
AUTOMATIC DATA PROCESSING INCOM,COMMON STOCK,053015103,3506,23271,SH,,SOLE,,22102,0,1169,0001291422-18-000009
AUTOMATIC DATA PROCESSING INCOM,COMMON STOCK,053015103,29,193,SH,,OTR,,0,0,193,0001291422-18-000009
BAIRD,MUTUAL FUNDS -,057071409,3605,377533,SH,,SOLE,,377533,0,0,0001291422-18-000009
BAIRD,MUTUAL FUNDS -,057071730,2663,278844,SH,,SOLE,,278844,0,0,0001291422-18-000009
BAIRD,MUTUAL FUNDS -,057071730,106,11114,SH,,DFND,,11114,0,0,0001291422-18-000009
BANK OF AMERICA CORP,COMMON STOCK,060505104,8925,302939,SH,,SOLE,,290285,0,12654,0001291422-18-000009
BANK OF AMERICA CORP,COMMON STOCK,060505104,47,1608,SH,,OTR,,0,0,1608,0001291422-18-000009
BANK OF AMERICA CORP,CORPORATE BONDS,06051GEH8,546,525000,PRN,,SOLE,,525000,0,0,0001291422-18-000009
BANK OF HAWAII CORP,COMMON STOCK,062540109,2957,37474,SH,,SOLE,,37050,0,424,0001291422-18-000009
BANK OF HAWAII CORP,COMMON STOCK,062540109,26,325,SH,,DFND,,325,0,0,0001291422-18-000009
BANK OF MONTREAL,COMMON STOCK,063671101,1013,12271,SH,,SOLE,,12271,0,0,0001291422-18-000009
BANK OF MONTREAL,CORPORATE BONDS,06367VHL2,250,250000,PRN,,SOLE,,250000,0,0,0001291422-18-000009
BANK OF NY MELLON,CORPORATE BONDS,06406HBM0,203,200000,PRN,,SOLE,,200000,0,0,0001291422-18-000009
BB&T CORP,COMMON STOCK,054937107,2914,60025,SH,,SOLE,,59350,0,675,0001291422-18-000009
BB&T CORP,COMMON STOCK,054937107,22,460,SH,,DFND,,460,0,0,0001291422-18-000009
BERKSHIRE HATHAWAY INC,COMMON STOCK,084670702,6222,29062,SH,,SOLE,,27622,0,1440,0001291422-18-000009
BERKSHIRE HATHAWAY INC,COMMON STOCK,084670702,155,724,SH,,OTR,,500,0,224,0001291422-18-000009
BIOGEN IDEC INC,COMMON STOCK,09062X103,2356,6667,SH,,SOLE,,6213,0,454,0001291422-18-000009
BIOGEN IDEC INC,COMMON STOCK,09062X103,25,72,SH,,OTR,,0,0,72,0001291422-18-000009
BOEING CO,COMMON STOCK,097023105,12329,33151,SH,,SOLE,,33035,0,116,0001291422-18-000009
BOEING CO,COMMON STOCK,097023105,41,110,SH,,DFND,,110,0,0,0001291422-18-000009
